SMILES,LogD
CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,1.730200948
CC(=O)Nc1ccc(CC(=O)N(C)C2CCN(CCC(c3ccccc3)c3ccccc3)CC2)cc1,2.997168683
CC(=O)Nc1ccc(CC(=O)N(C)C2CCN(Cc3ccc(C(F)(F)F)cc3)CC2)cc1,2.769945929
CC(=O)Nc1ccc(CN=c2[nH][nH]c3cccc(Oc4ccc(F)cc4)c23)cc1,2.460973749
CC(=O)Nc1ccc(CN=c2[nH][nH]c3cccc(Oc4ccc(S(C)(=O)=O)cc4)c23)cc1,1.953584977
CC(=O)Nc1ccc(CN=c2[nH][nH]c3ccnc(Oc4ccccc4)c23)cc1,2.161243438
CC(=O)Nc1ccc(N=c2nc3ccc(-c4ccncc4)cc3c[nH]2)cc1,2.440321184
CC(=O)Nc1ccc(O)cc1,0.805228477
CC(=O)Nc1ccc(O)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2,2.18740946
CC(=O)Nc1ccc(O)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(F)ccc1O2,1.933211297
CC(=O)Nc1ccc(S(=O)(=O)N=c2cccc[nH]2)cc1,0.797361887
CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Cc3ccncc3)cc2)cc1,1.685024637
CC(=O)Nc1ccc2[nH]c(-c3cccc(F)c3)cc(=O)c2c1,2.383216152
CC(=O)Nc1ccc2[nH]cc(-c3cc(=NC4CC4)n4[nH]cc(C#N)c4n3)c2c1,1.821675048
CC(=O)Nc1ccc2c(c1)N(c1cc(=NC3CC3)n3[nH]cc(C#N)c3n1)CC2,1.863488919
CC(=O)Nc1ccc2c(c1)c(-c1cc(=NC3CC3)n3[nH]cc(C#N)c3n1)cn2C,2.110251022
CC(=O)Nc1ccc2c(c1)c(-c1cc(=NC3CC3)n3[nH]cc(C#N)c3n1)cn2CCC(=O)O,1.543032671
CC(=O)Nc1ccc2c(c1)c(-c1cc(=NC3CC3)n3[nH]cc(C#N)c3n1)cn2CCCO,1.878232754
CC(=O)Nc1ccc2c(c1)c(-c1cc(=NC3CC3)n3[nH]cc(C#N)c3n1)cn2CCO,1.765193033
CC(=O)Nc1ccc2c(c1)c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,2.554575961
CC(=O)Nc1ccc2ccn(-c3cc(=NC4CC4)n4[nH]cc(C#N)c4n3)c2c1,2.01002229
CC(=O)Nc1ccc2ccn(-c3cc(=NC4COC4)n4[nH]cc(C#N)c4n3)c2c1,1.741907894
CC(=O)Nc1ccc2ccn(-c3cc(=NCCCCO)n4[nH]cc(C#N)c4n3)c2c1,1.728136656
CC(=O)Nc1ccc2ccn(-c3cc(=NCCCN(C)C)n4[nH]cc(C#N)c4n3)c2c1,2.017148597
CC(=O)Nc1ccc2ccn(-c3cc(=NCCCN4CCCC4)n4[nH]cc(C#N)c4n3)c2c1,2.108183546
CC(=O)Nc1ccc2ccn(-c3cc(=NCCN4CCCC4)n4[nH]cc(C#N)c4n3)c2c1,1.972650811
CC(=O)Nc1ccc2ccn(-c3cc(=Nc4ccn(C)n4)n4[nH]cc(C#N)c4n3)c2c1,2.301878069
CC(=O)Nc1ccc2cnn(-c3cc(=NC4CC4)n4[nH]cc(C#N)c4n3)c2c1,1.799023465
CC(=O)Nc1cccc(N=c2nc(N3CCC(OCc4ccc(OC(F)(F)F)cc4)CC3)nc[nH]2)c1C,2.3393886
CC(=O)Nc1cccc(N=c2nc3c(C#N)c[nH]n3c(=NC3CC3)[nH]2)c1,1.11353974
CC(=O)Nc1cccc(OCc2cnc(Cl)s2)c1,2.153517477
CC(=O)Nc1cccc(S(=O)(=O)Nc2ccc(-c3ccccc3)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c2=O)c1,1.392401513
CC(=O)Nc1cccc2c1c(Oc1ccc(Cl)cc1)c(C)n2CC(=O)O,2.172713052
CC(=O)Nc1cccc2c1c(S(=O)(=O)c1ccc(Cl)cc1)c(C)n2CC(=O)O,1.579362653
CC(=O)Nc1ccccc1C,1.417979989
CC(=O)Nc1cnc2ccn(-c3cc(=NC4CC4)n4[nH]cc(C#N)c4n3)c2c1,1.799888843
CC(=O)OCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(=N)[nH]cnc21,3.284756312
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)C(=O)C3C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C.O.O.O,-1.528138086
CC(=O)O[C@H]1CC[C@]2(C=O)[C@H]3CC[C@]4(C)C(c5coc(O)c5)CC[C@]4(O)[C@@H]3CC[C@]2(O)C1,2.345971021
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC(C)=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,2.331826437
CC(=O)c1c(C)c2c[nH]c(=Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,2.011783094
CC(=O)c1cc2ccc(O)cc2oc1=O,1.782656856
CC(=O)c1ccc(N2CCN(S(=O)(=O)C[C@]34CC[C@H](CC3=O)C4(C)C)CC2)nc1,1.635043023
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1.250237896
CC(=O)c1ccc2[nH]c(-c3cccnc3)cc(=O)c2c1,2.184898174
CC(=O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,1.498161738
CC(=O)c1cn(Cc2ccccc2)c(=O)n(Cc2ccc(F)cc2)c1=O,2.327174674
CC(=O)c1ncccc1NC(=O)C1CCC(n2c(O)c3c(c2O)[C@@H]2CC[C@H]3C2)CC1,2.72276004
CC(=O)c1noc(C)c1C(=O)N=c1[nH]ccs1,1.345292169
CC(C#Cc1ccccc1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,2.118978716
CC(C(=O)N1CCc2ccccc2C1)N1C(=O)c2ccccc2C1=O,2.234551535
CC(C(=O)NCCN1CCCC1)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,1.901391714
CC(C(=O)Nc1ccc(Cl)cc1)c1ncc(C(F)(F)F)cc1Cl,2.426322246
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,2.286162132
CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,2.327393281
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,1.786963694
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,2.049084257
CC(C)(C#N)c1cnc(N2CCN(C(=O)C3CCCCC3C(=O)NC3(C#N)CC3)CC2)s1,1.61627074
CC(C)(C(=O)N=c1[nH]nc(C(=O)Nc2ccc(N3CCOCC3)cc2)o1)c1ccc(Cl)cc1,2.006798669
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,2.435847484
CC(C)(C(=O)c1cccnc1)c1cccnc1,2.386485102
CC(C)(C(N)=O)C(=O)NCCCN=c1[nH]c(=Nc2cccc(NC(=O)N3CCCC3)c2)[nH]cc1Br,2.435517407
CC(C)(C)C(=O)NC1CCCCNC1=O,0.380861151
CC(C)(C)C(=O)NCc1ccc(NC(=O)N2CCCC(O)(c3ccc(Cl)c(Cl)c3)C2)cc1,3.099329191
CC(C)(C)C(=O)Nc1ccc2c(c1)C(=O)C(=O)c1ccccc1-2,2.744604549
CC(C)(C)C(O)/C(=C\c1ccc(Cl)cc1Cl)n1cncn1,2.804531281
CC(C)(C)CN=c1[nH]c(C#N)nc(N2CCOCC2)c1N,1.04562683
CC(C)(C)Cn1c(CN2C(=O)CC3(CCNCC3)C2=O)cc2cnc(C#N)nc21,1.953033659
CC(C)(C)NC(=O)C(c1ccncc1)N(Cc1ccco1)C(=O)c1ccc(-c2ccccc2)[nH]1,2.388422885
CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1C[C@@H](O)CC(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,2.027595437
CC(C)(C)NC(=O)Nc1ccc(-c2c(COCc3ccccc3)[nH]c(=N)[nH]c2=N)cc1,2.305647295
CC(C)(C)NC(=O)Nc1cccc(Cn2[nH]c(=O)c3[nH]c4cc(Cl)ccc4c(=O)c3c2=O)c1,2.151193372
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1,0.146583853
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,0.146583853
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(=N)[nH]n3c2)c1,1.240140964
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(=NC(=O)NCC(=O)N4CCCC4)[nH]n3c2)c1,1.17097248
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(=NC(=O)NCC(=O)N4CCOCC4)[nH]n3c2)c1,0.975300562
CC(C)(C)OC(=O)N1CCC(OCc2nc(-c3ccncc3)no2)CC1,2.684978264
CC(C)(C)OC(=O)N1CCC(c2ncc(OCc3ccc(S(C)(=O)=O)cc3)cn2)CC1,2.211052852
CC(C)(C)OC(=O)N1CCN(c2ccc(OCc3ccc(S(C)(=O)=O)cc3)cc2)CC1,2.482881004
CC(C)(C)OC(=O)N1CCN(c2ccc(OCc3ccc(S(C)(=O)=O)cc3)cn2)CC1,2.29282919
CC(C)(C)OC(=O)N1CCN(c2ccc(OCc3ccc(S(C)(=O)=O)cc3)nc2)CC1,2.29282919
CC(C)(C)OC(=O)N1CCN(c2ccc(OCc3ccc(S(C)(=O)=O)cc3)nn2)CC1,2.128867691
CC(C)(C)OC(=O)N1CCN(c2cnc(OCc3ccc(S(C)(=O)=O)cc3)cn2)CC1,2.133541108
CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3c(F)cncc3F)cn2)CC1,2.606600017
CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccc(S(C)(=O)=O)cc3)cn2)CC1,2.133541108
CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccc(S(C)(=O)=O)cc3)nn2)CC1,1.996734331
CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccncc3)cn2)CC1,2.592182201
CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccncc3C#N)cn2)CC1,2.566738272
CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccncc3F)cn2)CC1,2.602714916
CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccncc3S(C)(=O)=O)cn2)CC1,2.003166201
CC(C)(C)OC(=O)N1C[C@@H]2CC[C@H]1CN2c1ncc(OCc2ccc(S(C)(=O)=O)cc2)cn1,2.265334548
CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)O,1.415366447
CC(C)(C)OC(=O)NCCCSC[C@H]1O[C@@H](n2cnc3c(=N)[nH]cnc32)[C@H](O)[C@@H]1O,1.104923656
CC(C)(C)OC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1c(Br)cccc1-2,2.952967501
CC(C)(C)c1cc(=O)n2[nH]c(=N)nc2[nH]1,-0.317077103
CC(C)(C)c1cc2[nH]c3c(c(=O)n2n1)CN(Cc1ccccc1)C3=O,2.175587807
CC(C)(C)c1ccc(-c2[nH][nH]c(=NC(=O)c3ccccc3Cl)c2Br)cc1,3.255910515
CC(C)(C)c1ccc(-c2nc(O)c(CC(=O)O)s2)cc1,2.42933578
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,2.811188795
CC(C)(CCCCCOCCc1ccccc1)NCCc1ccc(O)c2[nH]c(=O)sc12,2.022405147
CC(C)(CO)N=c1[nH]c(SCc2cccc(F)c2F)nc2[nH]c(=N)sc12,1.961315875
CC(C)(CS(=O)(=O)N1CCN(c2ccc(F)cc2)CC1)N(O)C=O,1.257414949
CC(C)(Cc1cccc(CC(=O)NCc2cccc(-c3ccc(O)cc3)c2)c1)NC[C@H](O)c1ccc(O)c(NS(C)(=O)=O)c1,2.25099433
CC(C)(F)CC(N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,1.808753276
CC(C)(N)C(=O)NC(COCc1ccccc1)C(=O)N1CCC2(CC1)CN(S(C)(=O)=O)c1ccccc12,1.538103496
CC(C)(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)NC=O,2.051750281
CC(C)(O)c1ccc(N=c2[nH]c3ccc(C#N)cc3[nH]2)cc1,2.036394181
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,1.838612359
CC(C)(c1cc(N2CCOCC2)nc(-c2cccc3[nH]ccc23)n1)S(C)(=O)=O,1.969057504
CC(C)C(=O)N=c1[nH]c(-c2ccccn2)cc2ccccc12,2.421940366
CC(C)C(=O)NCCNCC(O)COc1ccc(O)cc1,-0.467445123
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1.786517873
CC(C)C(=O)Nc1ccc2c(c1)C(=O)NC2=O,1.043079742
CC(C)C(C#N)(CCCN(C)CCc1ccccc1)c1ccccc1,2.793623603
CC(C)C(N)C(=O)OCCOCn1cnc2c(=O)[nH]c(=N)[nH]c21,-0.333541428
CC(C)C(NC(=O)CCc1ccccc1)C(=O)N1CCCC1,1.371748957
CC(C)C(NC(=O)Cn1c(-c2cc(F)cc(F)c2)ncc(N)c1=O)C(=O)C(F)(F)F,1.286353809
CC(C)C(NC(=O)Cn1c(-c2ccc(F)cc2)ncc(N)c1=O)C(=O)C(F)(F)F,1.231613619
CC(C)C(NC(=O)Cn1c(-c2ccc(F)cc2)ncc(NC(=O)OCc2ccccc2)c1=O)C(=O)C(F)(F)F,1.630768146
CC(C)C(NC(=O)Cn1c(-c2ccc(F)cc2)ncc(NC(=O)OCc2ccncc2)c1=O)C(=O)C(F)(F)F,1.487204222
CC(C)C(NC(=O)Cn1c(-c2cccc(C(=O)O)c2)ccc(NC(=O)OCc2ccccc2)c1=O)C(=O)C(F)(F)F,0.821551069
CC(C)C(NC(=O)Cn1c(-c2ccccc2)cc2c(=O)[nH]c(=O)[nH]c2c1=O)C(=O)C(F)(F)F,1.410389641
CC(C)C(NC(=O)Cn1c(-c2ccccc2)cc2c(=O)n(CCN3CCOCC3)c(=O)[nH]c2c1=O)C(=O)C(F)(F)F,1.982374236
CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(N)c1=O)C(=O)C(F)(F)F,1.306849496
CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)CN2CCOCC2)c1=O)C(=O)C(F)(F)F,1.898156559
CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)Cc2ccc(C(=O)O)cc2)c1=O)C(=O)C(F)(F)F,1.332711191
CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)Cc2cccc(C(=O)O)c2)c1=O)C(=O)C(F)(F)F,1.332711191
CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)Cc2ccccc2C(=O)O)c1=O)C(=O)C(F)(F)F,1.331927292
